[DEBUG] 2025-05-04 22:55:41.990 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2025-05-04 22:55:41.993 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2025-05-04 22:55:41.995 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2025-05-04 22:55:42.006 [main] Version - HHH000412: Hibernate ORM core version 5.6.15.Final
[DEBUG] 2025-05-04 22:55:42.007 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2025-05-04 22:55:42.119 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2025-05-04 22:55:42.120 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2025-05-04 22:55:42.123 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2025-05-04 22:55:42.234 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2025-05-04 22:55:42.242 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2025-05-04 22:55:42.243 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2025-05-04 22:55:42.252 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[DEBUG] 2025-05-04 22:55:42.276 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7c75db8b
[DEBUG] 2025-05-04 22:55:42.276 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7c75db8b
[DEBUG] 2025-05-04 22:55:42.276 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7c75db8b
[DEBUG] 2025-05-04 22:55:42.277 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@a137d7a
[DEBUG] 2025-05-04 22:55:42.277 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4df39a88
[DEBUG] 2025-05-04 22:55:42.277 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@60acd609
[DEBUG] 2025-05-04 22:55:42.278 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7a1f8def
[DEBUG] 2025-05-04 22:55:42.278 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7a1f8def
[DEBUG] 2025-05-04 22:55:42.278 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7a1f8def
[DEBUG] 2025-05-04 22:55:42.278 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1b15f922
[DEBUG] 2025-05-04 22:55:42.278 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1b15f922
[DEBUG] 2025-05-04 22:55:42.278 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1b15f922
[DEBUG] 2025-05-04 22:55:42.279 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@15d0849
[DEBUG] 2025-05-04 22:55:42.279 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@15d0849
[DEBUG] 2025-05-04 22:55:42.279 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@15d0849
[DEBUG] 2025-05-04 22:55:42.279 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7e94d093
[DEBUG] 2025-05-04 22:55:42.279 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7e94d093
[DEBUG] 2025-05-04 22:55:42.279 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7e94d093
[DEBUG] 2025-05-04 22:55:42.280 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4d96250
[DEBUG] 2025-05-04 22:55:42.280 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4d96250
[DEBUG] 2025-05-04 22:55:42.280 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4d96250
[DEBUG] 2025-05-04 22:55:42.280 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@1de6932a
[DEBUG] 2025-05-04 22:55:42.280 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@1de6932a
[DEBUG] 2025-05-04 22:55:42.280 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@1de6932a
[DEBUG] 2025-05-04 22:55:42.281 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@778db7c5
[DEBUG] 2025-05-04 22:55:42.281 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@778db7c5
[DEBUG] 2025-05-04 22:55:42.281 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@778db7c5
[DEBUG] 2025-05-04 22:55:42.281 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@64b7225f
[DEBUG] 2025-05-04 22:55:42.281 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@64b7225f
[DEBUG] 2025-05-04 22:55:42.282 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@5d01ea21
[DEBUG] 2025-05-04 22:55:42.282 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@5d01ea21
[DEBUG] 2025-05-04 22:55:42.282 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@2216effc
[DEBUG] 2025-05-04 22:55:42.282 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@2216effc
[DEBUG] 2025-05-04 22:55:42.282 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@12010fd1
[DEBUG] 2025-05-04 22:55:42.283 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@23940f86
[DEBUG] 2025-05-04 22:55:42.283 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@e1e2e5e
[DEBUG] 2025-05-04 22:55:42.283 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@e1e2e5e
[DEBUG] 2025-05-04 22:55:42.283 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3b95d13c
[DEBUG] 2025-05-04 22:55:42.283 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3b95d13c
[DEBUG] 2025-05-04 22:55:42.287 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@280d9edc
[DEBUG] 2025-05-04 22:55:42.287 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@280d9edc
[DEBUG] 2025-05-04 22:55:42.287 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6bf13698
[DEBUG] 2025-05-04 22:55:42.287 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6bf13698
[DEBUG] 2025-05-04 22:55:42.288 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@32f0c7f8
[DEBUG] 2025-05-04 22:55:42.288 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@32f0c7f8
[DEBUG] 2025-05-04 22:55:42.288 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@7275c74b
[DEBUG] 2025-05-04 22:55:42.288 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@7275c74b
[DEBUG] 2025-05-04 22:55:42.289 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@dab48d3
[DEBUG] 2025-05-04 22:55:42.289 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@dab48d3
[DEBUG] 2025-05-04 22:55:42.290 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@c3177d5
[DEBUG] 2025-05-04 22:55:42.290 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@c3177d5
[DEBUG] 2025-05-04 22:55:42.290 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@446c3920
[DEBUG] 2025-05-04 22:55:42.290 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@446c3920
[DEBUG] 2025-05-04 22:55:42.291 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@1da4b6b3
[DEBUG] 2025-05-04 22:55:42.291 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1da4b6b3
[DEBUG] 2025-05-04 22:55:42.291 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@41fed14f
[DEBUG] 2025-05-04 22:55:42.291 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@41fed14f
[DEBUG] 2025-05-04 22:55:42.292 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@36b310aa
[DEBUG] 2025-05-04 22:55:42.292 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@36b310aa
[DEBUG] 2025-05-04 22:55:42.292 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@36b310aa
[DEBUG] 2025-05-04 22:55:42.292 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@736048ed
