[DEBUG] 2025-05-07 13:55:57.820 [http-nio-8080-exec-7] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2025-05-07 13:55:57.822 [http-nio-8080-exec-7] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2025-05-07 13:55:57.826 [http-nio-8080-exec-7] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2025-05-07 13:55:57.845 [http-nio-8080-exec-7] Version - HHH000412: Hibernate ORM core version 5.6.15.Final
[DEBUG] 2025-05-07 13:55:57.846 [http-nio-8080-exec-7] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2025-05-07 13:55:58.017 [http-nio-8080-exec-7] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2025-05-07 13:55:58.018 [http-nio-8080-exec-7] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2025-05-07 13:55:58.020 [http-nio-8080-exec-7] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2025-05-07 13:55:58.217 [http-nio-8080-exec-7] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2025-05-07 13:55:58.230 [http-nio-8080-exec-7] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2025-05-07 13:55:58.231 [http-nio-8080-exec-7] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2025-05-07 13:55:58.251 [http-nio-8080-exec-7] Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[DEBUG] 2025-05-07 13:55:58.289 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@23e8cabc
[DEBUG] 2025-05-07 13:55:58.289 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@23e8cabc
[DEBUG] 2025-05-07 13:55:58.289 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@23e8cabc
[DEBUG] 2025-05-07 13:55:58.290 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6cc07110
[DEBUG] 2025-05-07 13:55:58.290 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@53f4e92f
[DEBUG] 2025-05-07 13:55:58.291 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@1da0366d
[DEBUG] 2025-05-07 13:55:58.292 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6b0026c0
[DEBUG] 2025-05-07 13:55:58.292 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6b0026c0
[DEBUG] 2025-05-07 13:55:58.292 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6b0026c0
[DEBUG] 2025-05-07 13:55:58.293 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1167200b
[DEBUG] 2025-05-07 13:55:58.293 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1167200b
[DEBUG] 2025-05-07 13:55:58.293 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1167200b
[DEBUG] 2025-05-07 13:55:58.294 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@29494471
[DEBUG] 2025-05-07 13:55:58.294 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@29494471
[DEBUG] 2025-05-07 13:55:58.294 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@29494471
[DEBUG] 2025-05-07 13:55:58.294 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@74836a25
[DEBUG] 2025-05-07 13:55:58.294 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@74836a25
[DEBUG] 2025-05-07 13:55:58.294 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@74836a25
[DEBUG] 2025-05-07 13:55:58.295 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5852614a
[DEBUG] 2025-05-07 13:55:58.295 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@5852614a
[DEBUG] 2025-05-07 13:55:58.295 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5852614a
[DEBUG] 2025-05-07 13:55:58.296 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7e65355c
[DEBUG] 2025-05-07 13:55:58.296 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7e65355c
[DEBUG] 2025-05-07 13:55:58.296 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7e65355c
[DEBUG] 2025-05-07 13:55:58.297 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7fe68560
[DEBUG] 2025-05-07 13:55:58.297 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@7fe68560
[DEBUG] 2025-05-07 13:55:58.297 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@7fe68560
[DEBUG] 2025-05-07 13:55:58.297 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7ccb6d18
[DEBUG] 2025-05-07 13:55:58.298 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7ccb6d18
[DEBUG] 2025-05-07 13:55:58.298 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@8aeb7e8
[DEBUG] 2025-05-07 13:55:58.298 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@8aeb7e8
[DEBUG] 2025-05-07 13:55:58.299 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@5b0b8d93
[DEBUG] 2025-05-07 13:55:58.299 [http-nio-8080-exec-7] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@5b0b8d93
